news_headline,news_article,news_category
"Despite all the controversies, Greg Chappell taught India how to win: Suresh Raina","Cricketer Suresh Raina has said that despite all the controversies around his coaching career, former Team India head coach Greg Chappell taught the team how to win. ""The fruits of the seeds he had sown were seen much later when we won the 2011 World Cup,"" Raina added. Chappell was Team India's head coach from 2005 to 2007.",sports
"Manjrekar's chat with Twitter user goes viral, says 'Jadeja doesn't know English'","A Twitter user shared screenshots of his personal chat with commentator Sanjay Manjrekar, wherein the duo can be seen debating about Manjrekar's opinion about Ravindra Jadeja and Ravichandran Ashwin. Referring to controversy over him calling Jadeja a 'bits and pieces' player, Manjrekar, in the chat said, ""Jadeja doesn't know English...so he didn't know the actual meaning of bits and pieces.""",sports
Serbian volleyball player suspended for 'slant eye' gesture against Thailand,"Serbian women's national volleyball team player Sanja Djurdjevic has been suspended for two matches after making a racist gesture during a match against Thailand. The 23-year-old was caught on camera narrowing her eyes with her fingers, after which she apologised along with Volleyball Federation of Serbia. International Volleyball Federation (FIVB) has imposed a fine of ₹16 lakh on the federation.",sports
"Wrestler Sushil asks for protein supplements, exercise bands in jail","Olympic medal-winning wrestler Sushil Kumar, arrested for the murder of a fellow wrestler, has filed a plea in a Delhi court, seeking high-protein food, dietary supplements and exercise bands in jail. The plea has sought supplements like isolate whey protein, omega 3 capsules, multivitamins etc, saying that denial of these basic requirements will have a huge implication on Sushil's career.",sports
"Buttler and Morgan's tweets allegedly mocking Indians resurface, investigation on","The ECB have begun their investigation after tweets posted by Jos Buttler and Eoin Morgan allegedly mocking Indian people resurfaced. Screenshots widely shared include messages like ""I always reply sir no1 else like me like you like me"" from Buttler and ""Sir, you play very good opening batting"" from Morgan. This comes after England suspended Ollie Robinson over racist tweets.",sports
"We were 'bloody Indians' to them, now they lick our backsides: Engineer on racism in UK","Referring to racism he faced in England years ago, ex-India wicketkeeper-batsman Farokh Engineer said people used to make fun of his accent. ""We were all 'bloody Indians' to them till a few years ago. Now once...IPL started, they're all licking our backsides,"" he added. ""It amazes me that just because of money, they are licking our boots now,"" Farokh stated. ",sports
Eng-Pak series not to be broadcast in Pak as Indian company holds rights: Minister,"Pakistan's Minister of Information and Broadcasting Fawad Chaudhry has said the upcoming limited-over series between England and Pakistan won't be broadcast in Pakistan as an Indian company is holding broadcasting rights in South Asia. ""We cannot conduct business with Indian companies,"" he stated. Pakistan Cricket Board (PCB) and PTV will face considerable losses as a result of this, he added.",sports
I was expecting to captain India in 2007 T20 World Cup: Yuvraj Singh,Ex-India all-rounder Yuvraj Singh has revealed he was expecting to captain India in the 2007 T20 World Cup as most of the senior players were not going to feature in the tournament. He added that nobody took the inaugural tournament seriously. He further said MS Dhoni was then named the captain and he supported him as a team man.,sports
"Sometimes, we didn't want to see each other: Prasad on arguments with Kohli, Shastri","Ex-BCCI chief selector MSK Prasad has revealed the selection committee used to have several arguments with Virat Kohli and Ravi Shastri. He added, ""Sometimes, we didn’t want to see each other after meetings, but the beauty of them is that the next morning when we'd meet they'd recognise and acknowledge that there is (merit in the) point we made.""",sports
Anderson deletes his 11-year-old tweet calling Broad lesbian over haircut,"In the wake of ECB's crackdown over social media use, James Anderson deleted his 11-year-old tweet containing a homophobic reference. In the tweet from February 2010, Anderson stated that Stuart Broad looked like a 15-year-old lesbian with his new haircut. ""For me...it's 10-11 years ago, I've certainly changed as a person,"" Anderson said on being asked to explain the tweet. ",sports
